timestamp,BTC: Entity-Adjusted STH Realized Profit,timestamp,BTC: Price,timestamp,BTC: Entity-Adjusted STH Realized Loss,timestamp,BTC: Entity-Adjusted STH Realized Loss [Reversed Z-Score],timestamp,BTC: Entity-Adjusted STH Realized Profit [Z-Score],timestamp,Z-Score = 2,timestamp,Z-Score = 0,timestamp,Z-Score = -2,timestamp,High Risk,timestamp,High Risk,timestamp,Very Low Risk,timestamp,---,timestamp,Very High Risk
2009-03-26T00:00:00.000Z,9.71444873703859e-15,,,2009-03-26T00:00:00.000Z,0,,,,,2009-03-26T00:00:00.000Z,2,2009-03-26T00:00:00.000Z,0,2009-03-26T00:00:00.000Z,-2,,,,,,,2009-03-26T00:00:00.000Z,1,,
2009-03-27T00:00:00.000Z,0,,,2009-03-27T00:00:00.000Z,0,,,,,2009-03-27T00:00:00.000Z,2,2009-03-27T00:00:00.000Z,0,2009-03-27T00:00:00.000Z,-2,,,,,,,2009-03-27T00:00:00.000Z,1,,
2009-03-28T00:00:00.000Z,0,,,2009-03-28T00:00:00.000Z,1.1102227042997e-14,,,,,2009-03-28T00:00:00.000Z,2,2009-03-28T00:00:00.000Z,0,2009-03-28T00:00:00.000Z,-2,,,,,,,2009-03-28T00:00:00.000Z,1,,
2009-03-29T00:00:00.000Z,0,,,2009-03-29T00:00:00.000Z,0,,,,,2009-03-29T00:00:00.000Z,2,2009-03-29T00:00:00.000Z,0,2009-03-29T00:00:00.000Z,-2,,,,,,,2009-03-29T00:00:00.000Z,1,,
2009-03-30T00:00:00.000Z,0,,,2009-03-30T00:00:00.000Z,0,,,,,2009-03-30T00:00:00.000Z,2,2009-03-30T00:00:00.000Z,0,2009-03-30T00:00:00.000Z,-2,,,,,,,2009-03-30T00:00:00.000Z,1,,
2009-03-31T00:00:00.000Z,0,,,2009-03-31T00:00:00.000Z,1.11022273622388e-14,,,,,2009-03-31T00:00:00.000Z,2,2009-03-31T00:00:00.000Z,0,2009-03-31T00:00:00.000Z,-2,,,,,,,2009-03-31T00:00:00.000Z,1,,
2009-04-01T00:00:00.000Z,0,,,2009-04-01T00:00:00.000Z,0,,,,,2009-04-01T00:00:00.000Z,2,2009-04-01T00:00:00.000Z,0,2009-04-01T00:00:00.000Z,-2,,,,,,,2009-04-01T00:00:00.000Z,1,,
2009-04-02T00:00:00.000Z,0,,,2009-04-02T00:00:00.000Z,0,,,,,2009-04-02T00:00:00.000Z,2,2009-04-02T00:00:00.000Z,0,2009-04-02T00:00:00.000Z,-2,,,,,,,2009-04-02T00:00:00.000Z,1,,
2009-04-03T00:00:00.000Z,0,,,2009-04-03T00:00:00.000Z,0,,,,,2009-04-03T00:00:00.000Z,2,2009-04-03T00:00:00.000Z,0,2009-04-03T00:00:00.000Z,-2,,,,,,,2009-04-03T00:00:00.000Z,1,,
2009-04-04T00:00:00.000Z,0,,,2009-04-04T00:00:00.000Z,0,,,,,2009-04-04T00:00:00.000Z,2,2009-04-04T00:00:00.000Z,0,2009-04-04T00:00:00.000Z,-2,,,,,,,2009-04-04T00:00:00.000Z,1,,
2009-04-05T00:00:00.000Z,0,,,2009-04-05T00:00:00.000Z,1.04083380770517e-14,,,,,2009-04-05T00:00:00.000Z,2,2009-04-05T00:00:00.000Z,0,2009-04-05T00:00:00.000Z,-2,,,,,,,2009-04-05T00:00:00.000Z,1,,
2009-04-06T00:00:00.000Z,0,,,2009-04-06T00:00:00.000Z,0,,,,,2009-04-06T00:00:00.000Z,2,2009-04-06T00:00:00.000Z,0,2009-04-06T00:00:00.000Z,-2,,,,,,,2009-04-06T00:00:00.000Z,1,,
2009-04-07T00:00:00.000Z,0,,,2009-04-07T00:00:00.000Z,0,,,,,2009-04-07T00:00:00.000Z,2,2009-04-07T00:00:00.000Z,0,2009-04-07T00:00:00.000Z,-2,,,,,,,2009-04-07T00:00:00.000Z,1,,
2009-04-08T00:00:00.000Z,0,,,2009-04-08T00:00:00.000Z,0,,,,,2009-04-08T00:00:00.000Z,2,2009-04-08T00:00:00.000Z,0,2009-04-08T00:00:00.000Z,-2,,,,,,,2009-04-08T00:00:00.000Z,1,,
2009-04-09T00:00:00.000Z,0,,,2009-04-09T00:00:00.000Z,0,,,,,2009-04-09T00:00:00.000Z,2,2009-04-09T00:00:00.000Z,0,2009-04-09T00:00:00.000Z,-2,,,,,,,2009-04-09T00:00:00.000Z,1,,
2009-04-10T00:00:00.000Z,0,,,2009-04-10T00:00:00.000Z,0,,,,,2009-04-10T00:00:00.000Z,2,2009-04-10T00:00:00.000Z,0,2009-04-10T00:00:00.000Z,-2,,,,,,,2009-04-10T00:00:00.000Z,1,,
2009-04-11T00:00:00.000Z,0,,,2009-04-11T00:00:00.000Z,0,2009-04-11T00:00:00.000Z,0.612881714193498,2009-04-11T00:00:00.000Z,-0.3207685597706833,2009-04-11T00:00:00.000Z,2,2009-04-11T00:00:00.000Z,0,2009-04-11T00:00:00.000Z,-2,2009-04-11T00:00:00.000Z,0,2009-04-11T00:00:00.000Z,0.1,2009-04-11T00:00:00.000Z,0,2009-04-11T00:00:00.000Z,1,2009-04-11T00:00:00.000Z,0
2009-04-12T00:00:00.000Z,2.08166700139029e-15,,,2009-04-12T00:00:00.000Z,0,2009-04-12T00:00:00.000Z,0.6220699454341169,2009-04-12T00:00:00.000Z,-0.23938163915246655,2009-04-12T00:00:00.000Z,2,2009-04-12T00:00:00.000Z,0,2009-04-12T00:00:00.000Z,-2,2009-04-12T00:00:00.000Z,0,2009-04-12T00:00:00.000Z,0.1,2009-04-12T00:00:00.000Z,0,2009-04-12T00:00:00.000Z,1,2009-04-12T00:00:00.000Z,0
2009-04-13T00:00:00.000Z,0,,,2009-04-13T00:00:00.000Z,0,2009-04-13T00:00:00.000Z,0.6259228485981517,2009-04-13T00:00:00.000Z,-0.2810743392378022,2009-04-13T00:00:00.000Z,2,2009-04-13T00:00:00.000Z,0,2009-04-13T00:00:00.000Z,-2,2009-04-13T00:00:00.000Z,0,2009-04-13T00:00:00.000Z,0.1,2009-04-13T00:00:00.000Z,0,2009-04-13T00:00:00.000Z,1,2009-04-13T00:00:00.000Z,0
