timestamp,BTC: Short-Term Holder Profit/Loss Ratio,timestamp,90% Profit / 10% Loss,timestamp,10% Profit / 90% Loss,timestamp,BTC: Price,timestamp,50% Profit / 50% Loss,timestamp,---,timestamp,Very High Risk,timestamp,High Risk,timestamp,Very Low Risk,timestamp,Low Risk
2009-02-26T00:00:00.000Z,,2009-02-26T00:00:00.000Z,9,2009-02-26T00:00:00.000Z,0.1111111111111111,,,2009-02-26T00:00:00.000Z,1,2009-02-26T00:00:00.000Z,1,,,,,,,,
2009-02-27T00:00:00.000Z,,2009-02-27T00:00:00.000Z,9,2009-02-27T00:00:00.000Z,0.1111111111111111,,,2009-02-27T00:00:00.000Z,1,2009-02-27T00:00:00.000Z,1,,,,,,,,
2009-02-28T00:00:00.000Z,,2009-02-28T00:00:00.000Z,9,2009-02-28T00:00:00.000Z,0.1111111111111111,,,2009-02-28T00:00:00.000Z,1,2009-02-28T00:00:00.000Z,1,,,,,,,,
2009-03-01T00:00:00.000Z,,2009-03-01T00:00:00.000Z,9,2009-03-01T00:00:00.000Z,0.1111111111111111,,,2009-03-01T00:00:00.000Z,1,2009-03-01T00:00:00.000Z,1,,,,,,,,
2009-03-02T00:00:00.000Z,,2009-03-02T00:00:00.000Z,9,2009-03-02T00:00:00.000Z,0.1111111111111111,,,2009-03-02T00:00:00.000Z,1,2009-03-02T00:00:00.000Z,1,,,,,,,,
2009-03-03T00:00:00.000Z,,2009-03-03T00:00:00.000Z,9,2009-03-03T00:00:00.000Z,0.1111111111111111,,,2009-03-03T00:00:00.000Z,1,2009-03-03T00:00:00.000Z,1,,,,,,,,
2009-03-04T00:00:00.000Z,,2009-03-04T00:00:00.000Z,9,2009-03-04T00:00:00.000Z,0.1111111111111111,,,2009-03-04T00:00:00.000Z,1,2009-03-04T00:00:00.000Z,1,,,,,,,,
2009-03-05T00:00:00.000Z,,2009-03-05T00:00:00.000Z,9,2009-03-05T00:00:00.000Z,0.1111111111111111,,,2009-03-05T00:00:00.000Z,1,2009-03-05T00:00:00.000Z,1,,,,,,,,
2009-03-06T00:00:00.000Z,,2009-03-06T00:00:00.000Z,9,2009-03-06T00:00:00.000Z,0.1111111111111111,,,2009-03-06T00:00:00.000Z,1,2009-03-06T00:00:00.000Z,1,,,,,,,,
2009-03-07T00:00:00.000Z,,2009-03-07T00:00:00.000Z,9,2009-03-07T00:00:00.000Z,0.1111111111111111,,,2009-03-07T00:00:00.000Z,1,2009-03-07T00:00:00.000Z,1,,,,,,,,
2009-03-08T00:00:00.000Z,,2009-03-08T00:00:00.000Z,9,2009-03-08T00:00:00.000Z,0.1111111111111111,,,2009-03-08T00:00:00.000Z,1,2009-03-08T00:00:00.000Z,1,,,,,,,,
2009-03-09T00:00:00.000Z,,2009-03-09T00:00:00.000Z,9,2009-03-09T00:00:00.000Z,0.1111111111111111,,,2009-03-09T00:00:00.000Z,1,2009-03-09T00:00:00.000Z,1,,,,,,,,
2009-03-10T00:00:00.000Z,,2009-03-10T00:00:00.000Z,9,2009-03-10T00:00:00.000Z,0.1111111111111111,,,2009-03-10T00:00:00.000Z,1,2009-03-10T00:00:00.000Z,1,,,,,,,,
2009-03-11T00:00:00.000Z,,2009-03-11T00:00:00.000Z,9,2009-03-11T00:00:00.000Z,0.1111111111111111,,,2009-03-11T00:00:00.000Z,1,2009-03-11T00:00:00.000Z,1,,,,,,,,
2009-03-12T00:00:00.000Z,,2009-03-12T00:00:00.000Z,9,2009-03-12T00:00:00.000Z,0.1111111111111111,,,2009-03-12T00:00:00.000Z,1,2009-03-12T00:00:00.000Z,1,,,,,,,,
2009-03-13T00:00:00.000Z,,2009-03-13T00:00:00.000Z,9,2009-03-13T00:00:00.000Z,0.1111111111111111,,,2009-03-13T00:00:00.000Z,1,2009-03-13T00:00:00.000Z,1,,,,,,,,
2009-03-14T00:00:00.000Z,,2009-03-14T00:00:00.000Z,9,2009-03-14T00:00:00.000Z,0.1111111111111111,,,2009-03-14T00:00:00.000Z,1,2009-03-14T00:00:00.000Z,1,,,,,,,,
2009-03-15T00:00:00.000Z,,2009-03-15T00:00:00.000Z,9,2009-03-15T00:00:00.000Z,0.1111111111111111,,,2009-03-15T00:00:00.000Z,1,2009-03-15T00:00:00.000Z,1,,,,,,,,
2009-03-16T00:00:00.000Z,,2009-03-16T00:00:00.000Z,9,2009-03-16T00:00:00.000Z,0.1111111111111111,,,2009-03-16T00:00:00.000Z,1,2009-03-16T00:00:00.000Z,1,,,,,,,,
